"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2021-04-12,"1 day ahead cum death",2021-04-13,"GM","Germany","point",NA,78877.377365
2021-04-12,"2 day ahead cum death",2021-04-14,"GM","Germany","point",NA,79148.495759
2021-04-12,"3 day ahead cum death",2021-04-15,"GM","Germany","point",NA,79351.396172
2021-04-12,"4 day ahead cum death",2021-04-16,"GM","Germany","point",NA,79531.069340
2021-04-12,"5 day ahead cum death",2021-04-17,"GM","Germany","point",NA,79724.424846
2021-04-12,"6 day ahead cum death",2021-04-18,"GM","Germany","point",NA,79971.949358
2021-04-12,"7 day ahead cum death",2021-04-19,"GM","Germany","point",NA,80304.210235
2021-04-12,"8 day ahead cum death",2021-04-20,"GM","Germany","point",NA,80679.696205
2021-04-12,"9 day ahead cum death",2021-04-21,"GM","Germany","point",NA,81002.590921
2021-04-12,"10 day ahead cum death",2021-04-22,"GM","Germany","point",NA,81207.604348
2021-04-12,"11 day ahead cum death",2021-04-23,"GM","Germany","point",NA,81351.153579
2021-04-12,"12 day ahead cum death",2021-04-24,"GM","Germany","point",NA,81515.197944
2021-04-12,"13 day ahead cum death",2021-04-25,"GM","Germany","point",NA,81731.420653
2021-04-12,"14 day ahead cum death",2021-04-26,"GM","Germany","point",NA,82008.801272
2021-04-12,"15 day ahead cum death",2021-04-27,"GM","Germany","point",NA,82399.546571
2021-04-12,"16 day ahead cum death",2021-04-28,"GM","Germany","point",NA,82793.192181
2021-04-12,"17 day ahead cum death",2021-04-29,"GM","Germany","point",NA,82995.192572
2021-04-12,"18 day ahead cum death",2021-04-30,"GM","Germany","point",NA,83114.240250
2021-04-12,"19 day ahead cum death",2021-05-01,"GM","Germany","point",NA,83256.351591
2021-04-12,"20 day ahead cum death",2021-05-02,"GM","Germany","point",NA,83443.268806
2021-04-12,"21 day ahead cum death",2021-05-03,"GM","Germany","point",NA,83692.509293
2021-04-12,"22 day ahead cum death",2021-05-04,"GM","Germany","point",NA,84128.053990
2021-04-12,"23 day ahead cum death",2021-05-05,"GM","Germany","point",NA,84582.177639
2021-04-12,"24 day ahead cum death",2021-05-06,"GM","Germany","point",NA,84776.231983
2021-04-12,"25 day ahead cum death",2021-05-07,"GM","Germany","point",NA,84876.620108
2021-04-12,"26 day ahead cum death",2021-05-08,"GM","Germany","point",NA,84999.184299
2021-04-12,"27 day ahead cum death",2021-05-09,"GM","Germany","point",NA,85160.864109
2021-04-12,"28 day ahead cum death",2021-05-10,"GM","Germany","point",NA,85403.638027
2021-04-12,"29 day ahead cum death",2021-05-11,"GM","Germany","point",NA,85892.120279
2021-04-12,"30 day ahead cum death",2021-05-12,"GM","Germany","point",NA,86389.420555
2021-04-12,"1 day ahead cum death",2021-04-13,"GM","Germany","quantile","0.01",78376.677582
2021-04-12,"2 day ahead cum death",2021-04-14,"GM","Germany","quantile","0.01",78591.346451
2021-04-12,"3 day ahead cum death",2021-04-15,"GM","Germany","quantile","0.01",78750.701729
2021-04-12,"4 day ahead cum death",2021-04-16,"GM","Germany","quantile","0.01",78894.335746
2021-04-12,"5 day ahead cum death",2021-04-17,"GM","Germany","quantile","0.01",79041.428527
2021-04-12,"6 day ahead cum death",2021-04-18,"GM","Germany","quantile","0.01",79220.615525
2021-04-12,"7 day ahead cum death",2021-04-19,"GM","Germany","quantile","0.01",79448.912119
2021-04-12,"8 day ahead cum death",2021-04-20,"GM","Germany","quantile","0.01",79709.762925
2021-04-12,"9 day ahead cum death",2021-04-21,"GM","Germany","quantile","0.01",79938.196952
2021-04-12,"10 day ahead cum death",2021-04-22,"GM","Germany","quantile","0.01",80073.809780
2021-04-12,"11 day ahead cum death",2021-04-23,"GM","Germany","quantile","0.01",80160.793982
2021-04-12,"12 day ahead cum death",2021-04-24,"GM","Germany","quantile","0.01",80256.900133
2021-04-12,"13 day ahead cum death",2021-04-25,"GM","Germany","quantile","0.01",80379.178280
2021-04-12,"14 day ahead cum death",2021-04-26,"GM","Germany","quantile","0.01",80532.719617
2021-04-12,"15 day ahead cum death",2021-04-27,"GM","Germany","quantile","0.01",80780.096329
2021-04-12,"16 day ahead cum death",2021-04-28,"GM","Germany","quantile","0.01",81040.815785
2021-04-12,"17 day ahead cum death",2021-04-29,"GM","Germany","quantile","0.01",81160.602390
2021-04-12,"18 day ahead cum death",2021-04-30,"GM","Germany","quantile","0.01",81219.710326
2021-04-12,"19 day ahead cum death",2021-05-01,"GM","Germany","quantile","0.01",81288.034291
2021-04-12,"20 day ahead cum death",2021-05-02,"GM","Germany","quantile","0.01",81375.439271
2021-04-12,"21 day ahead cum death",2021-05-03,"GM","Germany","quantile","0.01",81495.074366
2021-04-12,"22 day ahead cum death",2021-05-04,"GM","Germany","quantile","0.01",81758.736009
2021-04-12,"23 day ahead cum death",2021-05-05,"GM","Germany","quantile","0.01",82050.025352
2021-04-12,"24 day ahead cum death",2021-05-06,"GM","Germany","quantile","0.01",82157.994753
2021-04-12,"25 day ahead cum death",2021-05-07,"GM","Germany","quantile","0.01",82200.859348
2021-04-12,"26 day ahead cum death",2021-05-08,"GM","Germany","quantile","0.01",82251.479009
2021-04-12,"27 day ahead cum death",2021-05-09,"GM","Germany","quantile","0.01",82317.395498
2021-04-12,"28 day ahead cum death",2021-05-10,"GM","Germany","quantile","0.01",82425.075904
2021-04-12,"29 day ahead cum death",2021-05-11,"GM","Germany","quantile","0.01",82710.675000
2021-04-12,"30 day ahead cum death",2021-05-12,"GM","Germany","quantile","0.01",83019.582414
2021-04-12,"1 day ahead cum death",2021-04-13,"GM","Germany","quantile","0.025",78455.534375
2021-04-12,"2 day ahead cum death",2021-04-14,"GM","Germany","quantile","0.025",78679.093659
2021-04-12,"3 day ahead cum death",2021-04-15,"GM","Germany","quantile","0.025",78845.306998
2021-04-12,"4 day ahead cum death",2021-04-16,"GM","Germany","quantile","0.025",78994.616935
2021-04-12,"5 day ahead cum death",2021-04-17,"GM","Germany","quantile","0.025",79148.995779
2021-04-12,"6 day ahead cum death",2021-04-18,"GM","Germany","quantile","0.025",79338.945468
2021-04-12,"7 day ahead cum death",2021-04-19,"GM","Germany","quantile","0.025",79583.615726
2021-04-12,"8 day ahead cum death",2021-04-20,"GM","Germany","quantile","0.025",79862.520787
2021-04-12,"9 day ahead cum death",2021-04-21,"GM","Germany","quantile","0.025",80105.831727
2021-04-12,"10 day ahead cum death",2021-04-22,"GM","Germany","quantile","0.025",80252.374675
2021-04-12,"11 day ahead cum death",2021-04-23,"GM","Germany","quantile","0.025",80348.267482
2021-04-12,"12 day ahead cum death",2021-04-24,"GM","Germany","quantile","0.025",80455.073437
2021-04-12,"13 day ahead cum death",2021-04-25,"GM","Germany","quantile","0.025",80592.147211
2021-04-12,"14 day ahead cum death",2021-04-26,"GM","Germany","quantile","0.025",80765.192388
2021-04-12,"15 day ahead cum death",2021-04-27,"GM","Germany","quantile","0.025",81035.148673
2021-04-12,"16 day ahead cum death",2021-04-28,"GM","Germany","quantile","0.025",81316.803090
2021-04-12,"17 day ahead cum death",2021-04-29,"GM","Germany","quantile","0.025",81449.537804
2021-04-12,"18 day ahead cum death",2021-04-30,"GM","Germany","quantile","0.025",81518.085840
2021-04-12,"19 day ahead cum death",2021-05-01,"GM","Germany","quantile","0.025",81598.030812
2021-04-12,"20 day ahead cum death",2021-05-02,"GM","Germany","quantile","0.025",81701.108289
2021-04-12,"21 day ahead cum death",2021-05-03,"GM","Germany","quantile","0.025",81841.155348
2021-04-12,"22 day ahead cum death",2021-05-04,"GM","Germany","quantile","0.025",82131.887397
2021-04-12,"23 day ahead cum death",2021-05-05,"GM","Germany","quantile","0.025",82448.822030
2021-04-12,"24 day ahead cum death",2021-05-06,"GM","Germany","quantile","0.025",82570.349221
2021-04-12,"25 day ahead cum death",2021-05-07,"GM","Germany","quantile","0.025",82622.273379
2021-04-12,"26 day ahead cum death",2021-05-08,"GM","Germany","quantile","0.025",82684.223811
2021-04-12,"27 day ahead cum death",2021-05-09,"GM","Germany","quantile","0.025",82765.222369
2021-04-12,"28 day ahead cum death",2021-05-10,"GM","Germany","quantile","0.025",82894.179080
2021-04-12,"29 day ahead cum death",2021-05-11,"GM","Germany","quantile","0.025",83211.730886
2021-04-12,"30 day ahead cum death",2021-05-12,"GM","Germany","quantile","0.025",83550.308888
2021-04-12,"1 day ahead cum death",2021-04-13,"GM","Germany","quantile","0.05",78523.355568
2021-04-12,"2 day ahead cum death",2021-04-14,"GM","Germany","quantile","0.05",78754.561098
2021-04-12,"3 day ahead cum death",2021-04-15,"GM","Germany","quantile","0.05",78926.672749
2021-04-12,"4 day ahead cum death",2021-04-16,"GM","Germany","quantile","0.05",79080.864290
2021-04-12,"5 day ahead cum death",2021-04-17,"GM","Germany","quantile","0.05",79241.509550
2021-04-12,"6 day ahead cum death",2021-04-18,"GM","Germany","quantile","0.05",79440.715747
2021-04-12,"7 day ahead cum death",2021-04-19,"GM","Germany","quantile","0.05",79699.468260
2021-04-12,"8 day ahead cum death",2021-04-20,"GM","Germany","quantile","0.05",79993.900975
2021-04-12,"9 day ahead cum death",2021-04-21,"GM","Germany","quantile","0.05",80250.006881
2021-04-12,"10 day ahead cum death",2021-04-22,"GM","Germany","quantile","0.05",80405.950335
2021-04-12,"11 day ahead cum death",2021-04-23,"GM","Germany","quantile","0.05",80509.505035
2021-04-12,"12 day ahead cum death",2021-04-24,"GM","Germany","quantile","0.05",80625.513412
2021-04-12,"13 day ahead cum death",2021-04-25,"GM","Germany","quantile","0.05",80775.312241
2021-04-12,"14 day ahead cum death",2021-04-26,"GM","Germany","quantile","0.05",80965.131797
2021-04-12,"15 day ahead cum death",2021-04-27,"GM","Germany","quantile","0.05",81254.507760
2021-04-12,"16 day ahead cum death",2021-04-28,"GM","Germany","quantile","0.05",81554.167397
2021-04-12,"17 day ahead cum death",2021-04-29,"GM","Germany","quantile","0.05",81698.038200
2021-04-12,"18 day ahead cum death",2021-04-30,"GM","Germany","quantile","0.05",81774.705243
2021-04-12,"19 day ahead cum death",2021-05-01,"GM","Germany","quantile","0.05",81864.644922
2021-04-12,"20 day ahead cum death",2021-05-02,"GM","Germany","quantile","0.05",81981.201611
2021-04-12,"21 day ahead cum death",2021-05-03,"GM","Germany","quantile","0.05",82138.804084
2021-04-12,"22 day ahead cum death",2021-05-04,"GM","Germany","quantile","0.05",82452.818176
2021-04-12,"23 day ahead cum death",2021-05-05,"GM","Germany","quantile","0.05",82791.809173
2021-04-12,"24 day ahead cum death",2021-05-06,"GM","Germany","quantile","0.05",82924.996812
2021-04-12,"25 day ahead cum death",2021-05-07,"GM","Germany","quantile","0.05",82984.712694
2021-04-12,"26 day ahead cum death",2021-05-08,"GM","Germany","quantile","0.05",83056.408215
2021-04-12,"27 day ahead cum death",2021-05-09,"GM","Germany","quantile","0.05",83150.378184
2021-04-12,"28 day ahead cum death",2021-05-10,"GM","Germany","quantile","0.05",83297.633690
2021-04-12,"29 day ahead cum death",2021-05-11,"GM","Germany","quantile","0.05",83642.666590
2021-04-12,"30 day ahead cum death",2021-05-12,"GM","Germany","quantile","0.05",84006.762935
2021-04-12,"1 day ahead cum death",2021-04-13,"GM","Germany","quantile","0.1",78601.549060
2021-04-12,"2 day ahead cum death",2021-04-14,"GM","Germany","quantile","0.1",78841.570223
2021-04-12,"3 day ahead cum death",2021-04-15,"GM","Germany","quantile","0.1",79020.482248
2021-04-12,"4 day ahead cum death",2021-04-16,"GM","Germany","quantile","0.1",79180.301966
2021-04-12,"5 day ahead cum death",2021-04-17,"GM","Germany","quantile","0.1",79348.172003
2021-04-12,"6 day ahead cum death",2021-04-18,"GM","Germany","quantile","0.1",79558.050362
2021-04-12,"7 day ahead cum death",2021-04-19,"GM","Germany","quantile","0.1",79833.038811
2021-04-12,"8 day ahead cum death",2021-04-20,"GM","Germany","quantile","0.1",80145.373919
2021-04-12,"9 day ahead cum death",2021-04-21,"GM","Germany","quantile","0.1",80416.231601
2021-04-12,"10 day ahead cum death",2021-04-22,"GM","Germany","quantile","0.1",80583.013237
2021-04-12,"11 day ahead cum death",2021-04-23,"GM","Germany","quantile","0.1",80695.401607
2021-04-12,"12 day ahead cum death",2021-04-24,"GM","Germany","quantile","0.1",80822.019788
2021-04-12,"13 day ahead cum death",2021-04-25,"GM","Germany","quantile","0.1",80986.489789
2021-04-12,"14 day ahead cum death",2021-04-26,"GM","Germany","quantile","0.1",81195.649130
2021-04-12,"15 day ahead cum death",2021-04-27,"GM","Germany","quantile","0.1",81507.414738
2021-04-12,"16 day ahead cum death",2021-04-28,"GM","Germany","quantile","0.1",81827.833243
2021-04-12,"17 day ahead cum death",2021-04-29,"GM","Germany","quantile","0.1",81984.543242
2021-04-12,"18 day ahead cum death",2021-04-30,"GM","Germany","quantile","0.1",82070.570979
2021-04-12,"19 day ahead cum death",2021-05-01,"GM","Germany","quantile","0.1",82172.033916
2021-04-12,"20 day ahead cum death",2021-05-02,"GM","Germany","quantile","0.1",82304.131273
2021-04-12,"21 day ahead cum death",2021-05-03,"GM","Germany","quantile","0.1",82481.974015
2021-04-12,"22 day ahead cum death",2021-05-04,"GM","Germany","quantile","0.1",82822.830811
2021-04-12,"23 day ahead cum death",2021-05-05,"GM","Germany","quantile","0.1",83187.251384
2021-04-12,"24 day ahead cum death",2021-05-06,"GM","Germany","quantile","0.1",83333.882771
2021-04-12,"25 day ahead cum death",2021-05-07,"GM","Germany","quantile","0.1",83402.582012
2021-04-12,"26 day ahead cum death",2021-05-08,"GM","Germany","quantile","0.1",83485.512997
2021-04-12,"27 day ahead cum death",2021-05-09,"GM","Germany","quantile","0.1",83594.438171
2021-04-12,"28 day ahead cum death",2021-05-10,"GM","Germany","quantile","0.1",83762.791018
2021-04-12,"29 day ahead cum death",2021-05-11,"GM","Germany","quantile","0.1",84139.507858
2021-04-12,"30 day ahead cum death",2021-05-12,"GM","Germany","quantile","0.1",84533.025218
2021-04-12,"1 day ahead cum death",2021-04-13,"GM","Germany","quantile","0.15",78654.305838
2021-04-12,"2 day ahead cum death",2021-04-14,"GM","Germany","quantile","0.15",78900.274866
2021-04-12,"3 day ahead cum death",2021-04-15,"GM","Germany","quantile","0.15",79083.775072
2021-04-12,"4 day ahead cum death",2021-04-16,"GM","Germany","quantile","0.15",79247.392095
2021-04-12,"5 day ahead cum death",2021-04-17,"GM","Germany","quantile","0.15",79420.136654
2021-04-12,"6 day ahead cum death",2021-04-18,"GM","Germany","quantile","0.15",79637.215469
2021-04-12,"7 day ahead cum death",2021-04-19,"GM","Germany","quantile","0.15",79923.158228
2021-04-12,"8 day ahead cum death",2021-04-20,"GM","Germany","quantile","0.15",80247.571995
2021-04-12,"9 day ahead cum death",2021-04-21,"GM","Germany","quantile","0.15",80528.382630
2021-04-12,"10 day ahead cum death",2021-04-22,"GM","Germany","quantile","0.15",80702.476736
2021-04-12,"11 day ahead cum death",2021-04-23,"GM","Germany","quantile","0.15",80820.825142
2021-04-12,"12 day ahead cum death",2021-04-24,"GM","Germany","quantile","0.15",80954.601706
2021-04-12,"13 day ahead cum death",2021-04-25,"GM","Germany","quantile","0.15",81128.970279
2021-04-12,"14 day ahead cum death",2021-04-26,"GM","Germany","quantile","0.15",81351.178080
2021-04-12,"15 day ahead cum death",2021-04-27,"GM","Germany","quantile","0.15",81678.049876
2021-04-12,"16 day ahead cum death",2021-04-28,"GM","Germany","quantile","0.15",82012.474289
2021-04-12,"17 day ahead cum death",2021-04-29,"GM","Germany","quantile","0.15",82177.846833
2021-04-12,"18 day ahead cum death",2021-04-30,"GM","Germany","quantile","0.15",82270.190187
2021-04-12,"19 day ahead cum death",2021-05-01,"GM","Germany","quantile","0.15",82379.427811
2021-04-12,"20 day ahead cum death",2021-05-02,"GM","Germany","quantile","0.15",82522.010383
2021-04-12,"21 day ahead cum death",2021-05-03,"GM","Germany","quantile","0.15",82713.509138
2021-04-12,"22 day ahead cum death",2021-05-04,"GM","Germany","quantile","0.15",83072.476579
2021-04-12,"23 day ahead cum death",2021-05-05,"GM","Germany","quantile","0.15",83454.054366
2021-04-12,"24 day ahead cum death",2021-05-06,"GM","Germany","quantile","0.15",83609.756187
2021-04-12,"25 day ahead cum death",2021-05-07,"GM","Germany","quantile","0.15",83684.516457
2021-04-12,"26 day ahead cum death",2021-05-08,"GM","Germany","quantile","0.15",83775.027956
2021-04-12,"27 day ahead cum death",2021-05-09,"GM","Germany","quantile","0.15",83894.043337
2021-04-12,"28 day ahead cum death",2021-05-10,"GM","Germany","quantile","0.15",84076.630458
2021-04-12,"29 day ahead cum death",2021-05-11,"GM","Germany","quantile","0.15",84474.724303
2021-04-12,"30 day ahead cum death",2021-05-12,"GM","Germany","quantile","0.15",84888.091882
2021-04-12,"1 day ahead cum death",2021-04-13,"GM","Germany","quantile","0.2",78696.235252
2021-04-12,"2 day ahead cum death",2021-04-14,"GM","Germany","quantile","0.2",78946.931456
2021-04-12,"3 day ahead cum death",2021-04-15,"GM","Germany","quantile","0.2",79134.078202
2021-04-12,"4 day ahead cum death",2021-04-16,"GM","Germany","quantile","0.2",79300.713202
2021-04-12,"5 day ahead cum death",2021-04-17,"GM","Germany","quantile","0.2",79477.331877
2021-04-12,"6 day ahead cum death",2021-04-18,"GM","Germany","quantile","0.2",79700.133387
2021-04-12,"7 day ahead cum death",2021-04-19,"GM","Germany","quantile","0.2",79994.782284
2021-04-12,"8 day ahead cum death",2021-04-20,"GM","Germany","quantile","0.2",80328.795786
2021-04-12,"9 day ahead cum death",2021-04-21,"GM","Germany","quantile","0.2",80617.516713
2021-04-12,"10 day ahead cum death",2021-04-22,"GM","Germany","quantile","0.2",80797.422537
2021-04-12,"11 day ahead cum death",2021-04-23,"GM","Germany","quantile","0.2",80920.507791
2021-04-12,"12 day ahead cum death",2021-04-24,"GM","Germany","quantile","0.2",81059.973612
2021-04-12,"13 day ahead cum death",2021-04-25,"GM","Germany","quantile","0.2",81242.209255
2021-04-12,"14 day ahead cum death",2021-04-26,"GM","Germany","quantile","0.2",81474.787560
2021-04-12,"15 day ahead cum death",2021-04-27,"GM","Germany","quantile","0.2",81813.665274
2021-04-12,"16 day ahead cum death",2021-04-28,"GM","Germany","quantile","0.2",82159.221140
2021-04-12,"17 day ahead cum death",2021-04-29,"GM","Germany","quantile","0.2",82331.478400
2021-04-12,"18 day ahead cum death",2021-04-30,"GM","Germany","quantile","0.2",82428.841205
2021-04-12,"19 day ahead cum death",2021-05-01,"GM","Germany","quantile","0.2",82544.257904
2021-04-12,"20 day ahead cum death",2021-05-02,"GM","Germany","quantile","0.2",82695.173793
2021-04-12,"21 day ahead cum death",2021-05-03,"GM","Germany","quantile","0.2",82897.525914
2021-04-12,"22 day ahead cum death",2021-05-04,"GM","Germany","quantile","0.2",83270.887122
2021-04-12,"23 day ahead cum death",2021-05-05,"GM","Germany","quantile","0.2",83666.100918
2021-04-12,"24 day ahead cum death",2021-05-06,"GM","Germany","quantile","0.2",83829.011633
2021-04-12,"25 day ahead cum death",2021-05-07,"GM","Germany","quantile","0.2",83908.589017
2021-04-12,"26 day ahead cum death",2021-05-08,"GM","Germany","quantile","0.2",84005.125267
2021-04-12,"27 day ahead cum death",2021-05-09,"GM","Germany","quantile","0.2",84132.160024
2021-04-12,"28 day ahead cum death",2021-05-10,"GM","Germany","quantile","0.2",84326.060096
2021-04-12,"29 day ahead cum death",2021-05-11,"GM","Germany","quantile","0.2",84741.143707
2021-04-12,"30 day ahead cum death",2021-05-12,"GM","Germany","quantile","0.2",85170.287610
2021-04-12,"1 day ahead cum death",2021-04-13,"GM","Germany","quantile","0.25",78732.206956
2021-04-12,"2 day ahead cum death",2021-04-14,"GM","Germany","quantile","0.25",78986.958655
2021-04-12,"3 day ahead cum death",2021-04-15,"GM","Germany","quantile","0.25",79177.233808
2021-04-12,"4 day ahead cum death",2021-04-16,"GM","Germany","quantile","0.25",79346.457964
2021-04-12,"5 day ahead cum death",2021-04-17,"GM","Germany","quantile","0.25",79526.400285
2021-04-12,"6 day ahead cum death",2021-04-18,"GM","Germany","quantile","0.25",79754.111358
2021-04-12,"7 day ahead cum death",2021-04-19,"GM","Germany","quantile","0.25",80056.229346
2021-04-12,"8 day ahead cum death",2021-04-20,"GM","Germany","quantile","0.25",80398.478566
2021-04-12,"9 day ahead cum death",2021-04-21,"GM","Germany","quantile","0.25",80693.985819
2021-04-12,"10 day ahead cum death",2021-04-22,"GM","Germany","quantile","0.25",80878.877581
2021-04-12,"11 day ahead cum death",2021-04-23,"GM","Germany","quantile","0.25",81006.026628
2021-04-12,"12 day ahead cum death",2021-04-24,"GM","Germany","quantile","0.25",81150.373325
2021-04-12,"13 day ahead cum death",2021-04-25,"GM","Germany","quantile","0.25",81339.358214
2021-04-12,"14 day ahead cum death",2021-04-26,"GM","Germany","quantile","0.25",81580.833487
2021-04-12,"15 day ahead cum death",2021-04-27,"GM","Germany","quantile","0.25",81930.011210
2021-04-12,"16 day ahead cum death",2021-04-28,"GM","Germany","quantile","0.25",82285.116871
2021-04-12,"17 day ahead cum death",2021-04-29,"GM","Germany","quantile","0.25",82463.280605
2021-04-12,"18 day ahead cum death",2021-04-30,"GM","Germany","quantile","0.25",82564.949652
2021-04-12,"19 day ahead cum death",2021-05-01,"GM","Germany","quantile","0.25",82685.667447
2021-04-12,"20 day ahead cum death",2021-05-02,"GM","Germany","quantile","0.25",82843.732580
2021-04-12,"21 day ahead cum death",2021-05-03,"GM","Germany","quantile","0.25",83055.395923
2021-04-12,"22 day ahead cum death",2021-05-04,"GM","Germany","quantile","0.25",83441.105700
2021-04-12,"23 day ahead cum death",2021-05-05,"GM","Germany","quantile","0.25",83848.017979
2021-04-12,"24 day ahead cum death",2021-05-06,"GM","Germany","quantile","0.25",84017.113282
2021-04-12,"25 day ahead cum death",2021-05-07,"GM","Germany","quantile","0.25",84100.823321
2021-04-12,"26 day ahead cum death",2021-05-08,"GM","Germany","quantile","0.25",84202.528272
2021-04-12,"27 day ahead cum death",2021-05-09,"GM","Germany","quantile","0.25",84336.442940
2021-04-12,"28 day ahead cum death",2021-05-10,"GM","Germany","quantile","0.25",84540.048516
2021-04-12,"29 day ahead cum death",2021-05-11,"GM","Germany","quantile","0.25",84969.707833
2021-04-12,"30 day ahead cum death",2021-05-12,"GM","Germany","quantile","0.25",85412.386418
2021-04-12,"1 day ahead cum death",2021-04-13,"GM","Germany","quantile","0.3",78764.510658
2021-04-12,"2 day ahead cum death",2021-04-14,"GM","Germany","quantile","0.3",79022.904318
2021-04-12,"3 day ahead cum death",2021-04-15,"GM","Germany","quantile","0.3",79215.988877
2021-04-12,"4 day ahead cum death",2021-04-16,"GM","Germany","quantile","0.3",79387.538174
2021-04-12,"5 day ahead cum death",2021-04-17,"GM","Germany","quantile","0.3",79570.465232
2021-04-12,"6 day ahead cum death",2021-04-18,"GM","Germany","quantile","0.3",79802.585244
2021-04-12,"7 day ahead cum death",2021-04-19,"GM","Germany","quantile","0.3",80111.410707
2021-04-12,"8 day ahead cum death",2021-04-20,"GM","Germany","quantile","0.3",80461.055857
2021-04-12,"9 day ahead cum death",2021-04-21,"GM","Germany","quantile","0.3",80762.657440
2021-04-12,"10 day ahead cum death",2021-04-22,"GM","Germany","quantile","0.3",80952.026728
2021-04-12,"11 day ahead cum death",2021-04-23,"GM","Germany","quantile","0.3",81082.825187
2021-04-12,"12 day ahead cum death",2021-04-24,"GM","Germany","quantile","0.3",81231.555061
2021-04-12,"13 day ahead cum death",2021-04-25,"GM","Germany","quantile","0.3",81426.600982
2021-04-12,"14 day ahead cum death",2021-04-26,"GM","Germany","quantile","0.3",81676.066007
2021-04-12,"15 day ahead cum death",2021-04-27,"GM","Germany","quantile","0.3",82034.493456
2021-04-12,"16 day ahead cum death",2021-04-28,"GM","Germany","quantile","0.3",82398.175128
2021-04-12,"17 day ahead cum death",2021-04-29,"GM","Germany","quantile","0.3",82581.643058
2021-04-12,"18 day ahead cum death",2021-04-30,"GM","Germany","quantile","0.3",82687.179244
2021-04-12,"19 day ahead cum death",2021-05-01,"GM","Germany","quantile","0.3",82812.657588
2021-04-12,"20 day ahead cum death",2021-05-02,"GM","Germany","quantile","0.3",82977.142961
2021-04-12,"21 day ahead cum death",2021-05-03,"GM","Germany","quantile","0.3",83197.168070
2021-04-12,"22 day ahead cum death",2021-05-04,"GM","Germany","quantile","0.3",83593.967245
2021-04-12,"23 day ahead cum death",2021-05-05,"GM","Germany","quantile","0.3",84011.385122
2021-04-12,"24 day ahead cum death",2021-05-06,"GM","Germany","quantile","0.3",84186.034377
2021-04-12,"25 day ahead cum death",2021-05-07,"GM","Germany","quantile","0.3",84273.455667
2021-04-12,"26 day ahead cum death",2021-05-08,"GM","Germany","quantile","0.3",84379.802272
2021-04-12,"27 day ahead cum death",2021-05-09,"GM","Germany","quantile","0.3",84519.895312
2021-04-12,"28 day ahead cum death",2021-05-10,"GM","Germany","quantile","0.3",84732.216731
2021-04-12,"29 day ahead cum death",2021-05-11,"GM","Germany","quantile","0.3",85174.965483
2021-04-12,"30 day ahead cum death",2021-05-12,"GM","Germany","quantile","0.3",85629.798630
2021-04-12,"1 day ahead cum death",2021-04-13,"GM","Germany","quantile","0.35",78794.444853
2021-04-12,"2 day ahead cum death",2021-04-14,"GM","Germany","quantile","0.35",79056.213331
2021-04-12,"3 day ahead cum death",2021-04-15,"GM","Germany","quantile","0.35",79251.901223
2021-04-12,"4 day ahead cum death",2021-04-16,"GM","Germany","quantile","0.35",79425.605111
2021-04-12,"5 day ahead cum death",2021-04-17,"GM","Germany","quantile","0.35",79611.297973
2021-04-12,"6 day ahead cum death",2021-04-18,"GM","Germany","quantile","0.35",79847.503523
2021-04-12,"7 day ahead cum death",2021-04-19,"GM","Germany","quantile","0.35",80162.544462
2021-04-12,"8 day ahead cum death",2021-04-20,"GM","Germany","quantile","0.35",80519.043042
2021-04-12,"9 day ahead cum death",2021-04-21,"GM","Germany","quantile","0.35",80826.291931
2021-04-12,"10 day ahead cum death",2021-04-22,"GM","Germany","quantile","0.35",81019.810314
2021-04-12,"11 day ahead cum death",2021-04-23,"GM","Germany","quantile","0.35",81153.990497
2021-04-12,"12 day ahead cum death",2021-04-24,"GM","Germany","quantile","0.35",81306.782038
2021-04-12,"13 day ahead cum death",2021-04-25,"GM","Germany","quantile","0.35",81507.444407
2021-04-12,"14 day ahead cum death",2021-04-26,"GM","Germany","quantile","0.35",81764.313129
2021-04-12,"15 day ahead cum death",2021-04-27,"GM","Germany","quantile","0.35",82131.311829
2021-04-12,"16 day ahead cum death",2021-04-28,"GM","Germany","quantile","0.35",82502.940453
2021-04-12,"17 day ahead cum death",2021-04-29,"GM","Germany","quantile","0.35",82691.323511
2021-04-12,"18 day ahead cum death",2021-04-30,"GM","Germany","quantile","0.35",82800.443177
2021-04-12,"19 day ahead cum death",2021-05-01,"GM","Germany","quantile","0.35",82930.332878
2021-04-12,"20 day ahead cum death",2021-05-02,"GM","Germany","quantile","0.35",83100.767562
2021-04-12,"21 day ahead cum death",2021-05-03,"GM","Germany","quantile","0.35",83328.541092
2021-04-12,"22 day ahead cum death",2021-05-04,"GM","Germany","quantile","0.35",83735.616247
2021-04-12,"23 day ahead cum death",2021-05-05,"GM","Germany","quantile","0.35",84162.769127
2021-04-12,"24 day ahead cum death",2021-05-06,"GM","Germany","quantile","0.35",84342.564945
2021-04-12,"25 day ahead cum death",2021-05-07,"GM","Germany","quantile","0.35",84433.425264
2021-04-12,"26 day ahead cum death",2021-05-08,"GM","Germany","quantile","0.35",84544.073051
2021-04-12,"27 day ahead cum death",2021-05-09,"GM","Germany","quantile","0.35",84689.891275
2021-04-12,"28 day ahead cum death",2021-05-10,"GM","Germany","quantile","0.35",84910.289221
2021-04-12,"29 day ahead cum death",2021-05-11,"GM","Germany","quantile","0.35",85365.167284
