"forecast_date","target","target_end_date","location","type","quantile","value"
"2021-08-23","1 wk ahead inc case","2021-08-28","GM","point",NA,70392
"2021-08-23","2 wk ahead inc case","2021-09-04","GM","point",NA,110639
"2021-08-23","3 wk ahead inc case","2021-09-11","GM","point",NA,172574
"2021-08-23","4 wk ahead inc case","2021-09-18","GM","point",NA,261337
"2021-08-23","1 wk ahead inc case","2021-08-28","GM","quantile",0.01,64945
"2021-08-23","2 wk ahead inc case","2021-09-04","GM","quantile",0.01,86207
"2021-08-23","3 wk ahead inc case","2021-09-11","GM","quantile",0.01,95762
"2021-08-23","4 wk ahead inc case","2021-09-18","GM","quantile",0.01,62326
"2021-08-23","1 wk ahead inc case","2021-08-28","GM","quantile",0.025,65803
"2021-08-23","2 wk ahead inc case","2021-09-04","GM","quantile",0.025,90055
"2021-08-23","3 wk ahead inc case","2021-09-11","GM","quantile",0.025,107859
"2021-08-23","4 wk ahead inc case","2021-09-18","GM","quantile",0.025,93669
"2021-08-23","1 wk ahead inc case","2021-08-28","GM","quantile",0.05,66541
"2021-08-23","2 wk ahead inc case","2021-09-04","GM","quantile",0.05,93365
"2021-08-23","3 wk ahead inc case","2021-09-11","GM","quantile",0.05,118263
"2021-08-23","4 wk ahead inc case","2021-09-18","GM","quantile",0.05,120625
"2021-08-23","1 wk ahead inc case","2021-08-28","GM","quantile",0.1,67391
"2021-08-23","2 wk ahead inc case","2021-09-04","GM","quantile",0.1,97180
"2021-08-23","3 wk ahead inc case","2021-09-11","GM","quantile",0.1,130259
"2021-08-23","4 wk ahead inc case","2021-09-18","GM","quantile",0.1,151705
"2021-08-23","1 wk ahead inc case","2021-08-28","GM","quantile",0.15,67965
"2021-08-23","2 wk ahead inc case","2021-09-04","GM","quantile",0.15,99754
"2021-08-23","3 wk ahead inc case","2021-09-11","GM","quantile",0.15,138352
"2021-08-23","4 wk ahead inc case","2021-09-18","GM","quantile",0.15,172674
"2021-08-23","1 wk ahead inc case","2021-08-28","GM","quantile",0.2,68421
"2021-08-23","2 wk ahead inc case","2021-09-04","GM","quantile",0.2,101800
"2021-08-23","3 wk ahead inc case","2021-09-11","GM","quantile",0.2,144785
"2021-08-23","4 wk ahead inc case","2021-09-18","GM","quantile",0.2,189339
"2021-08-23","1 wk ahead inc case","2021-08-28","GM","quantile",0.25,68813
"2021-08-23","2 wk ahead inc case","2021-09-04","GM","quantile",0.25,103556
"2021-08-23","3 wk ahead inc case","2021-09-11","GM","quantile",0.25,150303
"2021-08-23","4 wk ahead inc case","2021-09-18","GM","quantile",0.25,203637
"2021-08-23","1 wk ahead inc case","2021-08-28","GM","quantile",0.3,69164
"2021-08-23","2 wk ahead inc case","2021-09-04","GM","quantile",0.3,105132
"2021-08-23","3 wk ahead inc case","2021-09-11","GM","quantile",0.3,155259
"2021-08-23","4 wk ahead inc case","2021-09-18","GM","quantile",0.3,216476
"2021-08-23","1 wk ahead inc case","2021-08-28","GM","quantile",0.35,69490
"2021-08-23","2 wk ahead inc case","2021-09-04","GM","quantile",0.35,106593
"2021-08-23","3 wk ahead inc case","2021-09-11","GM","quantile",0.35,159851
"2021-08-23","4 wk ahead inc case","2021-09-18","GM","quantile",0.35,228374
"2021-08-23","1 wk ahead inc case","2021-08-28","GM","quantile",0.4,69799
"2021-08-23","2 wk ahead inc case","2021-09-04","GM","quantile",0.4,107979
"2021-08-23","3 wk ahead inc case","2021-09-11","GM","quantile",0.4,164209
"2021-08-23","4 wk ahead inc case","2021-09-18","GM","quantile",0.4,239664
"2021-08-23","1 wk ahead inc case","2021-08-28","GM","quantile",0.45,70098
"2021-08-23","2 wk ahead inc case","2021-09-04","GM","quantile",0.45,109320
"2021-08-23","3 wk ahead inc case","2021-09-11","GM","quantile",0.45,168424
"2021-08-23","4 wk ahead inc case","2021-09-18","GM","quantile",0.45,250587
"2021-08-23","1 wk ahead inc case","2021-08-28","GM","quantile",0.5,70392
"2021-08-23","2 wk ahead inc case","2021-09-04","GM","quantile",0.5,110639
"2021-08-23","3 wk ahead inc case","2021-09-11","GM","quantile",0.5,172574
"2021-08-23","4 wk ahead inc case","2021-09-18","GM","quantile",0.5,261337
"2021-08-23","1 wk ahead inc case","2021-08-28","GM","quantile",0.55,70686
"2021-08-23","2 wk ahead inc case","2021-09-04","GM","quantile",0.55,111959
"2021-08-23","3 wk ahead inc case","2021-09-11","GM","quantile",0.55,176723
"2021-08-23","4 wk ahead inc case","2021-09-18","GM","quantile",0.55,272087
"2021-08-23","1 wk ahead inc case","2021-08-28","GM","quantile",0.6,70985
"2021-08-23","2 wk ahead inc case","2021-09-04","GM","quantile",0.6,113300
"2021-08-23","3 wk ahead inc case","2021-09-11","GM","quantile",0.6,180939
"2021-08-23","4 wk ahead inc case","2021-09-18","GM","quantile",0.6,283010
"2021-08-23","1 wk ahead inc case","2021-08-28","GM","quantile",0.65,71294
"2021-08-23","2 wk ahead inc case","2021-09-04","GM","quantile",0.65,114686
"2021-08-23","3 wk ahead inc case","2021-09-11","GM","quantile",0.65,185296
"2021-08-23","4 wk ahead inc case","2021-09-18","GM","quantile",0.65,294300
"2021-08-23","1 wk ahead inc case","2021-08-28","GM","quantile",0.7,71620
"2021-08-23","2 wk ahead inc case","2021-09-04","GM","quantile",0.7,116147
"2021-08-23","3 wk ahead inc case","2021-09-11","GM","quantile",0.7,189888
"2021-08-23","4 wk ahead inc case","2021-09-18","GM","quantile",0.7,306197
"2021-08-23","1 wk ahead inc case","2021-08-28","GM","quantile",0.75,71972
"2021-08-23","2 wk ahead inc case","2021-09-04","GM","quantile",0.75,117723
"2021-08-23","3 wk ahead inc case","2021-09-11","GM","quantile",0.75,194844
"2021-08-23","4 wk ahead inc case","2021-09-18","GM","quantile",0.75,319037
"2021-08-23","1 wk ahead inc case","2021-08-28","GM","quantile",0.8,72363
