forecast_date,target,target_end_date,location,location_name,type,quantile,value
2021-09-06,1 wk ahead inc death,2021-09-11,PL72,Dolnoslaskie,quantile,0.01,0
2021-09-06,1 wk ahead inc death,2021-09-11,PL72,Dolnoslaskie,quantile,0.025,0
2021-09-06,1 wk ahead inc death,2021-09-11,PL72,Dolnoslaskie,quantile,0.05,0
2021-09-06,1 wk ahead inc death,2021-09-11,PL72,Dolnoslaskie,quantile,0.1,0
2021-09-06,1 wk ahead inc death,2021-09-11,PL72,Dolnoslaskie,quantile,0.15,0
2021-09-06,1 wk ahead inc death,2021-09-11,PL72,Dolnoslaskie,quantile,0.2,0
2021-09-06,1 wk ahead inc death,2021-09-11,PL72,Dolnoslaskie,quantile,0.25,0
2021-09-06,1 wk ahead inc death,2021-09-11,PL72,Dolnoslaskie,quantile,0.3,0
2021-09-06,1 wk ahead inc death,2021-09-11,PL72,Dolnoslaskie,quantile,0.35,1
2021-09-06,1 wk ahead inc death,2021-09-11,PL72,Dolnoslaskie,quantile,0.4,1
2021-09-06,1 wk ahead inc death,2021-09-11,PL72,Dolnoslaskie,quantile,0.45,1
2021-09-06,1 wk ahead inc death,2021-09-11,PL72,Dolnoslaskie,quantile,0.5,1
2021-09-06,1 wk ahead inc death,2021-09-11,PL72,Dolnoslaskie,quantile,0.55,1
2021-09-06,1 wk ahead inc death,2021-09-11,PL72,Dolnoslaskie,quantile,0.6,1
2021-09-06,1 wk ahead inc death,2021-09-11,PL72,Dolnoslaskie,quantile,0.65,2
2021-09-06,1 wk ahead inc death,2021-09-11,PL72,Dolnoslaskie,quantile,0.7,2
2021-09-06,1 wk ahead inc death,2021-09-11,PL72,Dolnoslaskie,quantile,0.75,2
2021-09-06,1 wk ahead inc death,2021-09-11,PL72,Dolnoslaskie,quantile,0.8,2
2021-09-06,1 wk ahead inc death,2021-09-11,PL72,Dolnoslaskie,quantile,0.85,2
2021-09-06,1 wk ahead inc death,2021-09-11,PL72,Dolnoslaskie,quantile,0.9,3
2021-09-06,1 wk ahead inc death,2021-09-11,PL72,Dolnoslaskie,quantile,0.95,3
2021-09-06,1 wk ahead inc death,2021-09-11,PL72,Dolnoslaskie,quantile,0.975,4
2021-09-06,1 wk ahead inc death,2021-09-11,PL72,Dolnoslaskie,quantile,0.99,4
2021-09-06,1 wk ahead inc death,2021-09-11,PL73,Kujawsko-Pomorskie,quantile,0.01,0
2021-09-06,1 wk ahead inc death,2021-09-11,PL73,Kujawsko-Pomorskie,quantile,0.025,0
2021-09-06,1 wk ahead inc death,2021-09-11,PL73,Kujawsko-Pomorskie,quantile,0.05,0
2021-09-06,1 wk ahead inc death,2021-09-11,PL73,Kujawsko-Pomorskie,quantile,0.1,0
2021-09-06,1 wk ahead inc death,2021-09-11,PL73,Kujawsko-Pomorskie,quantile,0.15,0
2021-09-06,1 wk ahead inc death,2021-09-11,PL73,Kujawsko-Pomorskie,quantile,0.2,0
2021-09-06,1 wk ahead inc death,2021-09-11,PL73,Kujawsko-Pomorskie,quantile,0.25,0
2021-09-06,1 wk ahead inc death,2021-09-11,PL73,Kujawsko-Pomorskie,quantile,0.3,0
2021-09-06,1 wk ahead inc death,2021-09-11,PL73,Kujawsko-Pomorskie,quantile,0.35,0
2021-09-06,1 wk ahead inc death,2021-09-11,PL73,Kujawsko-Pomorskie,quantile,0.4,0
2021-09-06,1 wk ahead inc death,2021-09-11,PL73,Kujawsko-Pomorskie,quantile,0.45,0
2021-09-06,1 wk ahead inc death,2021-09-11,PL73,Kujawsko-Pomorskie,quantile,0.5,0
2021-09-06,1 wk ahead inc death,2021-09-11,PL73,Kujawsko-Pomorskie,quantile,0.55,0
2021-09-06,1 wk ahead inc death,2021-09-11,PL73,Kujawsko-Pomorskie,quantile,0.6,0
2021-09-06,1 wk ahead inc death,2021-09-11,PL73,Kujawsko-Pomorskie,quantile,0.65,0
2021-09-06,1 wk ahead inc death,2021-09-11,PL73,Kujawsko-Pomorskie,quantile,0.7,0
2021-09-06,1 wk ahead inc death,2021-09-11,PL73,Kujawsko-Pomorskie,quantile,0.75,0
2021-09-06,1 wk ahead inc death,2021-09-11,PL73,Kujawsko-Pomorskie,quantile,0.8,0
2021-09-06,1 wk ahead inc death,2021-09-11,PL73,Kujawsko-Pomorskie,quantile,0.85,0
2021-09-06,1 wk ahead inc death,2021-09-11,PL73,Kujawsko-Pomorskie,quantile,0.9,0
2021-09-06,1 wk ahead inc death,2021-09-11,PL73,Kujawsko-Pomorskie,quantile,0.95,0
2021-09-06,1 wk ahead inc death,2021-09-11,PL73,Kujawsko-Pomorskie,quantile,0.975,0
2021-09-06,1 wk ahead inc death,2021-09-11,PL73,Kujawsko-Pomorskie,quantile,0.99,0
2021-09-06,1 wk ahead inc death,2021-09-11,PL74,Lodzkie,quantile,0.01,1
2021-09-06,1 wk ahead inc death,2021-09-11,PL74,Lodzkie,quantile,0.025,1
2021-09-06,1 wk ahead inc death,2021-09-11,PL74,Lodzkie,quantile,0.05,2
2021-09-06,1 wk ahead inc death,2021-09-11,PL74,Lodzkie,quantile,0.1,2
2021-09-06,1 wk ahead inc death,2021-09-11,PL74,Lodzkie,quantile,0.15,2
