"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2021-08-09,"-1 wk ahead inc death",2021-07-31,"PL72","observed",NA,1,"Dolnoslaskie"
2021-08-09,"0 wk ahead inc death",2021-08-07,"PL72","observed",NA,2,"Dolnoslaskie"
2021-08-09,"1 wk ahead inc death",2021-08-14,"PL72","point",NA,1,"Dolnoslaskie"
2021-08-09,"2 wk ahead inc death",2021-08-21,"PL72","point",NA,0,"Dolnoslaskie"
2021-08-09,"3 wk ahead inc death",2021-08-28,"PL72","point",NA,0,"Dolnoslaskie"
2021-08-09,"4 wk ahead inc death",2021-09-04,"PL72","point",NA,0,"Dolnoslaskie"
2021-08-09,"1 wk ahead inc death",2021-08-14,"PL72","quantile",0.01,0,"Dolnoslaskie"
2021-08-09,"1 wk ahead inc death",2021-08-14,"PL72","quantile",0.025,0,"Dolnoslaskie"
2021-08-09,"1 wk ahead inc death",2021-08-14,"PL72","quantile",0.05,0,"Dolnoslaskie"
2021-08-09,"1 wk ahead inc death",2021-08-14,"PL72","quantile",0.1,0,"Dolnoslaskie"
2021-08-09,"1 wk ahead inc death",2021-08-14,"PL72","quantile",0.15,0,"Dolnoslaskie"
2021-08-09,"1 wk ahead inc death",2021-08-14,"PL72","quantile",0.2,0,"Dolnoslaskie"
2021-08-09,"1 wk ahead inc death",2021-08-14,"PL72","quantile",0.25,0,"Dolnoslaskie"
2021-08-09,"1 wk ahead inc death",2021-08-14,"PL72","quantile",0.3,0,"Dolnoslaskie"
2021-08-09,"1 wk ahead inc death",2021-08-14,"PL72","quantile",0.35,1,"Dolnoslaskie"
2021-08-09,"1 wk ahead inc death",2021-08-14,"PL72","quantile",0.4,1,"Dolnoslaskie"
2021-08-09,"1 wk ahead inc death",2021-08-14,"PL72","quantile",0.45,1,"Dolnoslaskie"
2021-08-09,"1 wk ahead inc death",2021-08-14,"PL72","quantile",0.5,1,"Dolnoslaskie"
2021-08-09,"1 wk ahead inc death",2021-08-14,"PL72","quantile",0.55,2,"Dolnoslaskie"
2021-08-09,"1 wk ahead inc death",2021-08-14,"PL72","quantile",0.6,2,"Dolnoslaskie"
2021-08-09,"1 wk ahead inc death",2021-08-14,"PL72","quantile",0.65,2,"Dolnoslaskie"
2021-08-09,"1 wk ahead inc death",2021-08-14,"PL72","quantile",0.7,2,"Dolnoslaskie"
2021-08-09,"1 wk ahead inc death",2021-08-14,"PL72","quantile",0.75,3,"Dolnoslaskie"
2021-08-09,"1 wk ahead inc death",2021-08-14,"PL72","quantile",0.8,3,"Dolnoslaskie"
2021-08-09,"1 wk ahead inc death",2021-08-14,"PL72","quantile",0.85,4,"Dolnoslaskie"
2021-08-09,"1 wk ahead inc death",2021-08-14,"PL72","quantile",0.9,5,"Dolnoslaskie"
2021-08-09,"1 wk ahead inc death",2021-08-14,"PL72","quantile",0.95,7,"Dolnoslaskie"
2021-08-09,"1 wk ahead inc death",2021-08-14,"PL72","quantile",0.975,8,"Dolnoslaskie"
2021-08-09,"1 wk ahead inc death",2021-08-14,"PL72","quantile",0.99,10,"Dolnoslaskie"
2021-08-09,"2 wk ahead inc death",2021-08-21,"PL72","quantile",0.01,0,"Dolnoslaskie"
2021-08-09,"2 wk ahead inc death",2021-08-21,"PL72","quantile",0.025,0,"Dolnoslaskie"
